 937:  R.v 0x1ffff  R.v 0x1ffff  R.v 0x1ffff  R.v 0x1ffff
 943:  R.v 0x0ffed  R.v 0x0ffee  R.v 0x0ffef  R.v 0x0ffe8
 949:  R.v 0x0fffd  R.v 0x0fffe  R.v 0x0ffff  R.v 0x0fff8
 955:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
 961:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
 967:  R.. 0x07e9e  R.. 0x07e9e  R.. 0x07e9e  R.. 0x07ec6
 971:  Rb. 0x07e9f  Rb. 0x07e9f  Rb. 0x07e9f  Rb. 0x07ec7
 975:  Rb. 0x17e9f  Rb. 0x17e9f  Rb. 0x17e9f  Rb. 0x17ec7
 979:  Rb. 0x17e9f  Rb. 0x17e9f  Rb. 0x17e9f  Rb. 0x17ec7
 991:  R.v 0x0ffed  R.v 0x0ffee  R.v 0x0ffef  R.v 0x0ffe8
 997:  R.v 0x0fffd  R.v 0x0fffe  R.v 0x0ffff  R.v 0x0fff8
1003:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1009:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1015:  R.. 0x07ea0  R.. 0x07ea0  R.. 0x07ea0  R.. 0x07ec8
1019:  Rb. 0x07ea1  Rb. 0x07ea1  Rb. 0x07ea1  Rb. 0x07ec9
1023:  Rb. 0x17ea1  Rb. 0x17ea1  Rb. 0x17ea1  Rb. 0x17ec9
1027:  Rb. 0x17ea1  Rb. 0x17ea1  Rb. 0x17ea1  Rb. 0x17ec9
1033:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1039:  R.. 0x0ffed  R.. 0x0ffee  R.. 0x0ffef  R.. 0x0ffe8
1045:  R.. 0x0fffd  R.. 0x0fffe  R.. 0x0ffff  R.. 0x0fff8
1051:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1057:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1063:  R.. 0x07ea2  R.. 0x07ea2  R.. 0x07ea2  R.. 0x07eca
1067:  Rb. 0x07ea3  Rb. 0x07ea3  Rb. 0x07ea3  Rb. 0x07ecb
