# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
  27   3148.109    3159     3180     0
  28   3219.694    3230     3252     0
  29   3291.010    3301     3324     0
  30   3362.728    3373     3396     0
  31   3434.178    3445     3468     0
  32   3505.895    3516     3540     0
  33   3577.346    3588     3604     0
  34   3648.931    3659     3676     0
  35   3720.247    3731     3748     0
  36   3791.964    3802     3820     0
  37   3863.415    3874     3892     0
  38   3934.999    3945     3964     0
  39   4006.582    4017     4036     0
  40   4078.033    4088     4104    -1
  41   4149.483    4160     4176     0
  42   4399.961    4410     4428     0
  43   4471.544    4482     4500     0
  44   4542.994    4553     4572     0
  45   4614.445    4625     4652     0
  46   4686.162    4697     4716     0
  47   4757.613    4768     4788     0
  48   4829.197    4840     4860     0
  49   4900.821    4911     4932     0
  50   4972.231    4983     5004     0
  51   5043.681    5054     5076     0
  52   5115.399    5126     5148     0
  53   5186.849    5197     5220     0
  54   5258.434    5269     5292     0
  55   5329.750    5340     5372     0
  56   5401.467    5412     5428     0
  57   5472.918    5483     5504     0
  58   5544.503    5555     5576     0
  59   5616.086    5627     5644     0
  60   5687.536    5698     5716     0
  61   5758.987    5769     5788     0
  62   5830.704    5841     5860     0
  63   5902.154    5913     5932     0
  64   5973.739    5984     6004     0
  65   6045.055    6056     6076     0
  66   6116.773    6127     6148     0
  67   6188.223    6199     6220     0
  68   6259.940    6270     6292     0
  69   6331.391    6342     6364     0
  70   6402.976    6413     6436     0
  71   6474.292    6485     6508     0
  72   6546.009    6557     6580     1
  73   6617.460    6628     6644     0
  74   6689.044    6700     6740     0
  75   6760.627    6771     6788     0
  76   6832.078    6843     6864     0
  77   6903.528    6914     6936     0
  78   6975.246    6986     7004     0
  79   7046.696    7057     7076     0
  80   7118.281    7129     7148     0
  81   7189.597    7200     7220     0
  82   7440.207    7451     7468     0
  83   7511.658    7522     7540     0
  84   7583.243    7594     7612     0
  85   7654.559    7665     7684     0
  86   7726.276    7737     7756     0
  87   7797.727    7808     7828     0
  88   7869.444    7880     7900     0
  89   7940.894    7951     7972     0
  90   8012.479    8023     8044     0
  91   8083.795    8094     8116     0
  92   8155.512    8166     8192     0
  93   8226.963    8237     8256     0
  94   8298.680    8309     8328     0
  95   8370.131    8381     8404     0
  96   8441.581    8452     8468     0
  97   8513.032    8524     8540     0
  98   8584.749    8595     8612     0
  99   8656.199    8667     8684     0
 100   8727.784    8738     8756     0
 101   8799.101    8810     8828     0
 102   8870.818    8881     8900     0
 103   8942.268    8953     8972     0
 104   9013.985    9024     9044     0
 105   9085.436    9096     9116     0
 106   9157.021    9167     9188     0
 107   9228.337    9239     9268     0
 108   9300.054    9311     9332     0
